time,x,y,z
0.029,-0.09,-0.00,0.01
0.029,-0.08,0.00,0.01
0.029,-0.07,0.00,0.01
0.029,-0.06,0.00,0.01
0.030,-0.04,0.00,0.01
0.030,-0.02,0.01,0.01
0.030,0.00,0.00,0.02
0.030,0.02,0.00,0.02
0.030,0.04,0.00,0.02
0.030,0.06,-0.00,0.03
0.031,0.07,0.00,0.03
0.031,0.08,0.00,0.02
0.033,0.08,0.00,0.02
0.033,0.08,0.00,0.02
0.037,0.08,0.01,0.01
0.038,0.07,0.00,0.01
0.047,0.06,0.01,0.01
0.048,0.05,0.00,0.00
0.048,0.03,0.00,0.00
0.048,0.02,0.00,0.00
0.052,-0.00,0.00,0.00
0.053,-0.02,0.00,0.00
0.059,-0.04,0.00,0.01
0.060,-0.05,0.00,0.01
0.062,-0.06,0.00,0.01
0.063,-0.07,0.00,0.01
0.067,-0.08,0.00,0.02
0.068,-0.08,0.00,0.02
0.072,-0.08,-0.00,0.01
0.072,-0.07,-0.00,0.01
0.078,-0.07,-0.01,0.01
0.079,-0.05,-0.00,0.01
0.082,-0.04,-0.00,0.00
0.083,-0.03,-0.00,-0.00
0.088,-0.01,-0.00,-0.00
0.088,0.01,0.00,-0.00
0.102,0.02,-0.00,-0.00
0.103,0.03,-0.00,-0.00
0.103,0.05,-0.00,-0.00
0.103,0.06,-0.00,0.00
0.103,0.07,0.00,0.00
0.103,0.07,-0.00,0.00
0.108,0.07,0.00,0.01
0.109,0.06,0.00,0.01
0.115,0.06,-0.00,0.01
0.115,0.05,-0.00,0.01
0.119,0.04,-0.00,0.01
0.119,0.03,-0.00,0.00
0.123,0.01,-0.00,0.00
0.124,-0.00,-0.00,0.00
0.131,-0.01,-0.00,-0.00
0.131,-0.03,0.00,-0.01
0.135,-0.04,0.00,-0.01
0.135,-0.05,-0.00,-0.01
0.137,-0.06,0.00,-0.01
0.138,-0.06,-0.00,-0.01
0.149,-0.06,0.00,-0.01
0.150,-0.06,0.00,-0.01
0.150,-0.06,0.00,-0.00
0.150,-0.05,0.00,0.00
0.153,-0.04,-0.00,0.00
0.153,-0.02,0.01,0.00
0.158,-0.01,0.00,0.00
0.158,-0.00,0.00,0.00
0.164,0.01,0.00,-0.00
0.164,0.03,0.00,-0.00
0.167,0.04,0.00,-0.00
0.168,0.04,0.00,-0.00
0.173,0.05,0.00,-0.01
0.173,0.06,0.00,-0.01
0.178,0.06,0.00,-0.02
0.179,0.06,0.00,-0.02
0.184,0.06,0.00,-0.01
0.185,0.05,0.00,-0.01
