time,x,y,z
0.007,0.11,1.45,0.04
0.008,0.80,2.21,-1.61
0.010,0.65,2.41,-2.15
0.014,0.04,1.89,-1.32
0.020,-0.61,1.31,-1.11
0.025,0.02,2.24,-1.31
0.030,0.89,3.58,-1.59
0.035,0.90,3.85,-1.17
0.040,0.14,3.05,0.26
0.045,0.34,3.60,1.52
0.050,0.97,4.97,1.60
0.055,1.64,6.18,1.10
0.060,2.27,7.85,1.14
0.065,1.63,8.08,0.97
0.078,0.32,7.18,0.96
0.078,-0.54,6.60,0.67
0.080,-0.76,6.36,-0.16
0.085,-0.71,6.40,-1.11
0.093,-0.24,6.65,-1.85
0.095,0.85,7.19,-2.08
0.100,1.98,7.76,-1.68
0.106,2.74,8.07,-1.04
0.110,2.80,7.96,-0.77
0.115,2.28,7.49,-0.84
0.121,1.29,6.83,-0.91
0.125,0.59,6.25,-0.69
0.130,0.36,6.07,-0.25
0.135,0.84,6.19,0.16
0.141,1.75,6.56,0.30
0.145,2.80,6.96,0.28
0.151,3.43,7.13,0.16
0.155,3.46,6.96,0.10
0.164,2.97,6.50,0.02
0.165,2.24,5.90,-0.17
0.170,1.63,5.41,-0.40
0.176,1.68,5.26,-0.72
0.180,2.22,5.41,-0.96
0.185,2.99,5.66,-0.99
0.190,3.80,5.90,-1.01
0.195,4.28,5.95,-1.12
0.202,4.28,5.75,-1.21
0.206,3.80,5.26,-1.22
0.211,3.23,4.75,-1.14
0.216,2.98,4.37,-1.00
0.224,3.24,4.29,-0.85
0.225,3.69,4.35,-0.69
0.231,4.17,4.47,-0.60
0.236,4.76,4.56,-0.68
0.241,5.05,4.53,-0.75
0.246,5.18,4.32,-0.74
0.251,4.97,3.97,-0.61
0.256,4.65,3.57,-0.50
0.260,4.52,3.24,-0.33
0.266,4.69,3.09,-0.16
0.271,5.10,3.11,0.25
0.276,5.69,3.15,0.83
0.282,5.99,3.08,1.17
0.286,6.03,2.90,1.21
0.291,5.96,2.61,0.90
0.296,5.80,2.26,0.54
0.301,5.59,1.95,0.30
0.306,5.56,1.70,0.05
0.311,5.70,1.55,-0.01
0.318,5.81,1.42,-0.05
0.323,6.09,1.30,-0.26
0.326,6.37,1.22,-0.69
0.331,6.36,1.15,-0.59
0.337,6.43,1.02,-0.23
0.341,6.64,0.81,0.02
0.346,6.60,0.56,0.14
0.352,6.36,0.31,0.47
0.357,6.29,0.04,0.87
0.362,6.37,-0.17,1.12
0.367,6.46,-0.33,1.29
0.371,6.36,-0.46,1.40
0.377,6.49,-0.59,1.38
0.382,6.57,-0.74,1.46
0.389,6.44,-0.93,1.35
0.393,6.58,-1.15,1.26
0.397,6.47,-1.32,1.16
0.401,6.32,-1.53,1.06
0.409,6.30,-1.71,0.97
0.414,6.27,-1.92,0.98
0.416,6.22,-2.10,0.99
0.425,6.67,-2.24,0.46
0.427,5.75,-2.22,-0.75
0.433,5.99,-2.48,-1.58
0.437,6.33,-2.75,-1.38
0.442,6.06,-2.93,-0.75
0.447,5.89,-3.16,0.25
0.452,5.69,-3.41,1.05
0.461,5.51,-3.66,1.62
0.465,5.51,-3.78,2.04
0.467,5.47,-3.84,2.51
0.473,5.43,-3.90,2.79
0.478,5.42,-3.99,2.72
0.483,5.50,-4.17,2.20
0.487,5.41,-4.36,1.80
0.495,4.91,-4.64,1.38
0.506,4.80,-4.85,0.89
0.506,4.23,-5.10,0.52
0.507,4.01,-5.32,0.52
0.513,4.08,-5.45,0.23
0.518,3.99,-5.54,0.11
0.523,3.88,-5.69,0.29
0.530,3.92,-5.76,0.44
0.533,3.69,-5.86,0.68
0.538,3.76,-5.99,0.95
0.543,3.61,-6.13,1.38
0.549,3.36,-6.29,1.88
0.553,3.13,-6.43,2.34
0.558,2.75,-6.59,2.58
0.568,2.70,-6.66,2.73
0.568,2.59,-6.72,2.74
0.575,2.52,-6.72,2.76
0.578,2.40,-6.79,2.87
0.586,2.21,-6.86,2.72
0.589,2.08,-6.97,2.42
0.594,1.79,-7.05,2.19
0.598,1.48,-7.12,2.06
0.603,1.48,-7.23,2.18
0.608,1.32,-7.32,2.66
0.613,1.30,-7.34,2.89
0.618,1.00,-7.34,2.70
0.624,1.15,-7.25,2.04
0.628,1.28,-7.27,1.55
0.633,1.07,-7.29,1.04
0.638,0.85,-7.36,0.41
0.643,0.68,-7.47,-0.18
0.647,0.33,-7.55,-0.77
0.653,0.19,-7.63,-1.19
0.659,0.13,-7.66,-1.44
0.663,0.04,-7.65,-1.53
0.670,-0.01,-7.64,-1.28
0.674,-0.02,-7.64,-0.84
0.678,-0.10,-7.65,-0.23
0.684,-0.20,-7.69,0.34
0.689,-0.31,-7.75,0.70
0.694,-0.46,-7.79,0.84
0.699,-0.54,-7.86,0.85
0.703,-0.51,-7.89,0.81
0.711,-0.47,-7.86,0.68
0.714,-0.47,-7.83,0.41
0.734,-0.56,-7.79,0.08
0.735,-0.60,-7.73,-0.34
0.735,-0.58,-7.71,-0.66
0.736,-0.56,-7.71,-0.89
0.744,-0.68,-7.73,-0.99
0.745,-0.77,-7.76,-0.94
0.749,-0.81,-7.78,-0.82
0.756,-0.82,-7.76,-0.62
0.758,-0.82,-7.77,-0.43
0.763,-0.87,-7.74,-0.20
0.768,-1.07,-7.69,-0.05
0.774,-0.89,-7.68,-0.08
0.778,-0.29,-7.69,0.09
0.783,-0.69,-7.60,0.22
0.788,-0.73,-7.54,0.05
0.793,-0.52,-7.47,-0.34
0.798,-0.52,-7.39,-0.63
0.803,-0.46,-7.35,-0.81
0.810,-0.40,-7.33,-0.85
0.814,-0.46,-7.29,-0.88
0.819,-0.43,-7.25,-0.86
0.824,-0.32,-7.27,-0.78
0.831,-0.21,-7.22,-0.60
0.835,-0.08,-7.15,-0.39
0.839,0.08,-7.08,-0.19
0.847,0.15,-7.00,-0.09
0.850,0.25,-6.92,-0.10
0.854,0.36,-6.86,-0.14
0.860,0.39,-6.83,-0.21
0.865,0.49,-6.74,-0.29
0.881,0.53,-6.68,-0.39
0.882,0.60,-6.60,-0.55
0.882,0.71,-6.50,-0.77
0.884,0.83,-6.45,-0.90
0.890,1.00,-6.35,-0.90
0.895,1.24,-6.27,-0.78
0.900,1.40,-6.20,-0.76
0.905,1.53,-6.12,-0.68
0.910,1.68,-6.02,-0.67
0.917,1.82,-5.95,-0.71
0.920,1.89,-5.81,-0.75
0.925,2.04,-5.72,-0.78
0.930,2.19,-5.61,-0.86
0.937,2.26,-5.54,-0.92
0.943,2.50,-5.45,-0.95
0.945,2.59,-5.31,-0.92
0.950,2.69,-5.19,-0.91
0.955,2.92,-5.07,-0.87
0.959,3.05,-4.97,-0.86
0.964,3.20,-4.84,-0.97
0.970,3.34,-4.70,-0.75
0.975,3.44,-4.60,-0.28
0.979,3.55,-4.44,0.02
0.987,3.69,-4.31,-0.09
0.990,3.88,-4.18,-0.35
0.995,4.06,-4.05,-0.55
1.000,4.48,-3.98,-0.46
1.005,4.67,-3.86,0.05
1.011,3.66,-3.61,0.52
1.015,3.85,-3.46,0.40
1.021,4.81,-3.30,0.33
1.025,4.56,-3.02,0.41
1.031,4.72,-2.78,0.89
1.037,5.32,-2.58,1.37
1.040,5.20,-2.40,1.51
1.046,5.15,-2.24,1.20
1.054,5.27,-2.17,0.73
1.055,5.14,-2.09,0.55
1.064,5.02,-2.00,0.70
1.065,5.18,-1.88,0.85
1.084,5.38,-1.65,0.64
1.085,5.50,-1.42,0.08
1.085,5.65,-1.18,-0.48
1.085,5.75,-0.99,-0.66
1.098,5.74,-0.82,-0.52
1.099,5.68,-0.70,-0.37
1.106,5.72,-0.56,-0.42
1.106,5.68,-0.42,-0.50
